,name,city,state,url,rank,tuition,enroll,rank,blurb,salary,employment_rate
0,Stanford University,Stanford,CA,https://www.usnews.com/best-graduate-schools/top-business-schools/stanford-university-01028,1,74706.0,844.0,1,"The Graduate School of Business at Stanford University offers these departments and concentrations: accounting, e-commerce, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, leadership, manufacturing and technology management, marketing, not-for-profit management, production/operations management, organizational behavior, portfolio management, public administration, public policy, real estate, sports business, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $74,706 per year. At graduation, 62.60 percent of graduates of the full-time program are employed.","$159,544",62.6%
1,University of Pennsylvania (Wharton),Philadelphia,PA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-pennsylvania-01194,2,80432.0,,2,"The Wharton School at University of Pennsylvania (Wharton) offers these departments and concentrations: accounting, e-commerce, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, insurance, international business, marketing, production/operations management, public policy, real estate, and quantitative analysis/statistics and operations research. Its tuition is full-time: $80,432 per year. At graduation, 81 percent of graduates of the full-time program are employed.",N/A,81%
2,University of Chicago (Booth),Chicago,IL,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-chicago-01073,3,73440.0,1229.0,3,"The Booth School of Business at University of Chicago (Booth) offers these departments and concentrations: accounting, economics, entrepreneurship, finance, general management, international business, marketing, management information systems, production/operations management, organizational behavior, public policy, and quantitative analysis/statistics and operations research. Its tuition is full-time: $73,440 per year; part-time: $7,344 per credit; and executive: $194,000 total program. At graduation, 84.30 percent of graduates of the full-time program are employed.","$147,977",84.3%
3,Northwestern University (Kellogg),Evanston,IL,https://www.usnews.com/best-graduate-schools/top-business-schools/northwestern-university-01071,4,74871.0,1378.0,4,"The Kellogg School of Management at Northwestern University (Kellogg) offers these departments and concentrations: accounting, economics, entrepreneurship, finance, general management, health care administration, leadership, marketing, not-for-profit management, production/operations management, organizational behavior, portfolio management, public administration, public policy, real estate, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $74,871 per year; part-time: $7,273 per credit; and executive: $108,918 per year. At graduation, 80.60 percent of graduates of the full-time program are employed.","$142,857",80.6%
4,Harvard University,Boston,MA,https://www.usnews.com/best-graduate-schools/top-business-schools/harvard-university-01110,5,73440.0,1538.0,5,"The Business School at Harvard University offers these departments and concentrations: accounting, consulting, e-commerce, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, international business, leadership, manufacturing and technology management, marketing, not-for-profit management, production/operations management, organizational behavior, portfolio management, public administration, public policy, real estate, sports business, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $73,440 per year. At graduation, 70.90 percent of graduates of the full-time program are employed.","$150,776",70.9%
5,Massachusetts Institute of Technology (Sloan),Cambridge,MA,https://www.usnews.com/best-graduate-schools/top-business-schools/massachusetts-institute-of-technology-01111,5,77168.0,,5,"The Sloan School of Management at Massachusetts Institute of Technology (Sloan) offers these departments and concentrations: accounting, economics, entrepreneurship, finance, general management, health care administration, human resources management, industrial management, international business, leadership, manufacturing and technology management, marketing, management information systems, production/operations management, organizational behavior, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $77,168 per year. At graduation, 79.30 percent of graduates of the full-time program are employed.",N/A,79.3%
6,Columbia University,New York,NY,https://www.usnews.com/best-graduate-schools/top-business-schools/columbia-university-01148,7,77376.0,1310.0,7,"The Columbia Business School at Columbia University offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, finance, general management, health care administration, international business, leadership, marketing, not-for-profit management, production/operations management, portfolio management, real estate, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $77,376 per year. At graduation, 73.30 percent of graduates of the full-time program are employed.","$146,334",73.3%
7,University of California--Berkeley (Haas),Berkeley,CA,https://www.usnews.com/best-graduate-schools/top-business-schools/university-of-california-berkeley-01029,7,64246.0,627.0,7,"The Haas School of Business at University of California--Berkeley (Haas) offers these departments and concentrations: accounting, e-commerce, economics, entrepreneurship, ethics, finance, general management, health care administration, international business, leadership, manufacturing and technology management, marketing, management information systems, not-for-profit management, production/operations management, organizational behavior, portfolio management, public policy, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, and technology. Its tuition is full-time: $64,246 per year (in-state); full-time: $68,444 per year (out-of-state); part-time: $3,464 per credit (in-state); part-time: $3,464 per credit (out-of-state); executive: $194,000 total program (in-state); executive: $194,000 total program (out-of-state); specialty master's: $75,108 total program (in-state); and specialty master's: $75,108 total program (out-of-state). At graduation, 71.70 percent of graduates of the full-time program are employed.","$139,423",71.7%
8,Yale University,New Haven,CT,https://www.usnews.com/best-graduate-schools/top-business-schools/yale-university-01257,9,72350.0,692.0,9,"The School of Management at Yale University offers these departments and concentrations: accounting, consulting, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, international business, leadership, marketing, not-for-profit management, production/operations management, organizational behavior, portfolio management, public administration, supply chain management/logistics, and quantitative analysis/statistics and operations research. Its tuition is full-time: $72,350 per year and executive: $96,750 per year. At graduation, 75.40 percent of graduates of the full-time program are employed.","$136,710",75.4%
9,Dartmouth College (Tuck),Hanover,NH,https://www.usnews.com/best-graduate-schools/top-business-schools/dartmouth-college-01140,10,77520.0,569.0,10,"The Tuck School of Business at Dartmouth College (Tuck) offers these departments and concentrations: accounting, consulting, e-commerce, economics, entrepreneurship, ethics, finance, general management, health care administration, human resources management, industrial management, international business, leadership, manufacturing and technology management, marketing, not-for-profit management, production/operations management, organizational behavior, portfolio management, public policy, real estate, supply chain management/logistics, quantitative analysis/statistics and operations research, tax, and technology. Its tuition is full-time: $77,520 per year. At graduation, 81.10 percent of graduates of the full-time program are employed.","$143,867",81.1%
